,Borough,Neighborhood,Latitude,Longitude,Unnamed: 0,Population,Hospitals
81,Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,89,9252,10
82,Manhattan,Financial District,40.70710710727048,-74.0106654452127,90,57627,9
83,Queens,Woodside,40.74634908860222,-73.90184166838284,129,45099,5
84,Queens,Jackson Heights,40.75198138007367,-73.88282109164365,131,108152,13
85,Queens,Elmhurst,40.744048505122024,-73.88165622288388,134,88427,12
86,Queens,Howard Beach,40.65422527738487,-73.8381376460028,152,26148,1
87,Queens,Corona,40.74238175015667,-73.85682497345258,133,109695,1
88,Queens,Forest Hills,40.72526378216503,-73.84447500788983,139,83728,7
89,Queens,Kew Gardens,40.7051790354148,-73.82981905825703,149,23278,3
90,Queens,Richmond Hill,40.69794731471763,-73.83183321446887,150,62982,2
91,Queens,Long Island City,40.75021734610528,-73.93920223915505,126,20030,4
92,Queens,Sunnyside,40.74017628351924,-73.92691617561577,127,63271,1
93,Queens,East Elmhurst,40.76407323883091,-73.86704147658772,130,23150,0
94,Queens,Ridgewood,40.70832315613858,-73.90143517559589,138,69317,1
95,Queens,Glendale,40.70276242967838,-73.87074167435605,135,32496,1
96,Queens,Rego Park,40.72897409480735,-73.8578268690537,140,28260,5
97,Queens,Woodhaven,40.68988687915789,-73.8581104655432,151,56674,1
98,Queens,South Ozone Park,40.66854957767195,-73.80986478649041,155,75878,2
99,Queens,College Point,40.784902749260205,-73.84304528896125,142,24069,0
100,Queens,Bayside,40.76604063281064,-73.7742736306867,156,43808,2
101,Queens,Little Neck,40.7708261928267,-73.7388977558074,160,17823,1
102,Queens,Douglaston,40.76684609790763,-73.7424982072733,157,17823,0
103,Queens,Glen Oaks,40.74944079974332,-73.71548118999145,169,29506,49
104,Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566,147,37479,2
105,Queens,Fresh Meadows,40.7343944653313,-73.78271337003264,145,17812,2
106,Queens,Briarwood,40.71093547252271,-73.81174822458634,144,53877,10
107,Queens,Oakland Gardens,40.74561857141855,-73.75494976234332,161,43808,2
108,Queens,Queens Village,40.718893092167356,-73.73871484578424,173,52504,3
109,Queens,Hollis,40.71124344191904,-73.75925009335594,163,20269,2
110,Queens,South Jamaica,40.696911253789885,-73.7904261313554,164,32496,2
111,Queens,Springfield Gardens,40.666230490368584,-73.76042092682287,165,39827,0
112,Queens,Cambria Heights,40.692774639160845,-73.73526873708026,167,18677,2
113,Queens,Rosedale,40.659816433428084,-73.73526079428278,174,25063,0
114,Queens,Far Rockaway,40.603134432500894,-73.75497968043872,177,60035,2
115,Queens,Breezy Point,40.55740128845452,-73.92551196994168,176,4079,0
116,Queens,Bay Terrace,40.782842806245554,-73.7768022262158,141,43808,3
117,Queens,Arverne,40.58914394372971,-73.79199233136943,175,18540,1
118,Queens,Neponsit,40.572036730217015,-73.85754672410827,178,2000,1
119,Queens,Floral Park,40.741378421945434,-73.70884705889246,168,15863,6
120,Queens,Holliswood,40.7209572076444,-73.76714166714729,146,20269,2
121,Queens,Lindenwood,40.66391841925139,-73.84963782402441,153,26148,1
122,Queens,Laurelton,40.66788389660247,-73.74025607989822,170,24453,0
123,Queens,Brookville,40.66000322733613,-73.75175310731153,166,39827,0
124,Queens,North Corona,40.7540709990489,-73.85751790676447,132,109695,1
125,Brooklyn,Rugby,40.655572313280764,-73.92688212616955,81,135619,11
126,Brooklyn,Mill Basin,40.61597423962336,-73.91515391550404,87,45231,2
127,Queens,Utopia,40.73350025429757,-73.79671678028349,148,17812,0
128,Bronx,Mount Hope,40.84884160724665,-73.90829930881988,10,24739,6
129,Queens,Hunters Point,40.743414090073536,-73.95386782130745,125,20030,1
130,Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834,110,24856,40
131,Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203,109,21049,49
132,Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682,128,63271,0
133,Queens,Blissville,40.73725071694497,-73.93244235260178,124,20030,1
134,Brooklyn,Vinegar Hill,40.70332149882874,-73.98111603592393,51,2671,7
135,Brooklyn,Dumbo,40.70317632822692,-73.9887528074504,49,1139,6
136,Brooklyn,Homecrest,40.598525095137255,-73.95918459428702,76,44316,4
137,Queens,Middle Village,40.716414511158185,-73.88114319200604,136,37929,0
138,Brooklyn,Erasmus,40.64692606658579,-73.94817709920184,79,135619,12
139,Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637,103,70150,15
